ID=d69c6480-19e9-4e70-bcd2-efdbd5c8e3c2 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:00.373 | ÚltimaExecução=01:00:00.378
ID=13816156-0c81-430e-b590-6a66c9a50a04 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:03.690 | ÚltimaExecução=01:00:03.695
ID=fb360602-a25c-43e3-8211-9ad1d18ca14f | Reentradas=0 | Latência=118ms | Status=sfSalvo | Entrada=01:00:05.574 | ÚltimaExecução=01:00:05.692
ID=4d719bf7-30a3-4994-ba3c-411eb8b35b76 | Reentradas=0 | Latência=176ms | Status=sfSalvo | Entrada=01:00:04.932 | ÚltimaExecução=01:00:05.108
ID=272f134b-fc09-4f92-ae69-1b42053f808c | Reentradas=0 | Latência=195ms | Status=sfSalvo | Entrada=01:00:06.495 | ÚltimaExecução=01:00:06.690
ID=5b008d20-a51d-453c-b1a3-0b56b5651059 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:03.528 | ÚltimaExecução=01:00:03.533
ID=e8b1993d-5526-4eb2-b8d4-203cfc637beb | Reentradas=0 | Latência=205ms | Status=sfSalvo | Entrada=01:00:05.383 | ÚltimaExecução=01:00:05.588
ID=fb44c113-e935-465f-887d-e14921690c69 | Reentradas=0 | Latência=105ms | Status=sfSalvo | Entrada=01:00:06.336 | ÚltimaExecução=01:00:06.441
ID=d3bd799a-019e-4f5e-b309-effafd738c4d | Reentradas=0 | Latência=117ms | Status=sfSalvo | Entrada=00:59:55.711 | ÚltimaExecução=00:59:55.828
ID=7a6cc316-1014-4e1a-9386-43ec523217cd | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:57.436 | ÚltimaExecução=00:59:57.442
ID=7610cc04-720e-4b10-927d-43acd044d1ad | Reentradas=0 | Latência=8ms | Status=sfSalvo | Entrada=01:00:04.371 | ÚltimaExecução=01:00:04.379
ID=7f40284c-eb96-4969-8d60-25c8da088027 | Reentradas=0 | Latência=192ms | Status=sfSalvo | Entrada=01:00:05.292 | ÚltimaExecução=01:00:05.484
ID=fe7085cb-3ceb-4cf4-b677-ecb2f21d3052 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:02.928 | ÚltimaExecução=01:00:02.934
ID=6589e4f3-ea44-40f4-80da-da75a2a423a7 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.409 | ÚltimaExecução=01:00:03.415
ID=cea34cff-8c35-47f4-8179-127e4861eb75 | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:03.450 | ÚltimaExecução=01:00:03.460
ID=36f3ac66-868f-4553-992e-cec55261f4a4 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:04.577 | ÚltimaExecução=01:00:04.582
ID=96776b10-fcd4-41d8-953e-1d161ed0b6db | Reentradas=0 | Latência=212ms | Status=sfSalvo | Entrada=01:00:06.416 | ÚltimaExecução=01:00:06.628
ID=f6a0e4a6-b1e7-4c63-a2d0-86ad7d8ecba3 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:58.245 | ÚltimaExecução=00:59:58.250
ID=71e53ec5-2a02-4f95-8581-a3144d085200 | Reentradas=0 | Latência=20ms | Status=sfSalvo | Entrada=00:59:56.238 | ÚltimaExecução=00:59:56.258
ID=f4774589-cb38-4411-b5ee-019ebfb3cd9b | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:00.923 | ÚltimaExecução=01:00:00.929
ID=34750ad7-47d0-424b-a680-73439d6c569d | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.688 | ÚltimaExecução=01:00:02.693
ID=7faefaa1-e9cd-4f5d-ba65-62bcc2b6bd41 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:58.879 | ÚltimaExecução=00:59:58.884
ID=4431d03e-fa66-41b1-ab59-da2d1e1c6757 | Reentradas=0 | Latência=8ms | Status=sfSalvo | Entrada=01:00:01.005 | ÚltimaExecução=01:00:01.013
ID=9e1663a6-2621-4344-bf14-297683c92333 | Reentradas=0 | Latência=22ms | Status=sfSalvo | Entrada=01:00:01.649 | ÚltimaExecução=01:00:01.671
ID=c970080c-e75e-4487-97f2-299aeb738d7b | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:02.888 | ÚltimaExecução=01:00:02.898
ID=176665ab-48d5-4412-b7fe-ac7f7f5a697a | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:03.690 | ÚltimaExecução=01:00:03.700
ID=93c1719b-544a-46ac-817f-91743647e15f | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:59.842 | ÚltimaExecução=00:59:59.848
ID=70b2f922-f1a7-455d-92a0-52e056fbfc08 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:00.683 | ÚltimaExecução=01:00:00.689
ID=f70c0e3b-55b0-42c0-880a-f307b7895e90 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=00:59:56.878 | ÚltimaExecução=00:59:56.885
ID=8a41c8e2-729a-40d3-a8e8-7cc7bf279661 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:01.846 | ÚltimaExecução=01:00:01.855
ID=3a9a68e1-a8b6-4a86-a631-efd73d152a3f | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:01.523 | ÚltimaExecução=01:00:01.529
ID=854a0356-975c-42d5-b668-1de6e2a33aa6 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:01.606 | ÚltimaExecução=01:00:01.612
ID=97eabfa4-c81e-45bc-a06a-fa500ae8540d | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:02.046 | ÚltimaExecução=01:00:02.052
ID=1b0d0710-5efb-48b6-a595-fcee13815772 | Reentradas=0 | Latência=180ms | Status=sfSalvo | Entrada=01:00:05.896 | ÚltimaExecução=01:00:06.076
ID=e4fb2bca-8b19-45e4-80a6-02d3607bd2f1 | Reentradas=0 | Latência=11ms | Status=sfSalvo | Entrada=01:00:00.124 | ÚltimaExecução=01:00:00.135
ID=6761e659-3aed-40e9-b4ce-ffb4388b3d26 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:03.009 | ÚltimaExecução=01:00:03.014
ID=0445a111-5658-47f0-b082-ed538acc45a5 | Reentradas=0 | Latência=204ms | Status=sfSalvo | Entrada=01:00:04.979 | ÚltimaExecução=01:00:05.183
ID=43198438-6d31-4d3a-a5ec-08ce0c046886 | Reentradas=0 | Latência=120ms | Status=sfSalvo | Entrada=00:59:55.231 | ÚltimaExecução=00:59:55.351
ID=2ccc2ba8-95e9-4b95-b913-5fec2d94ea09 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.286 | ÚltimaExecução=01:00:02.291
ID=65290a4d-ab16-49fd-b935-9d81912fdba7 | Reentradas=0 | Latência=173ms | Status=sfSalvo | Entrada=01:00:05.052 | ÚltimaExecução=01:00:05.225
ID=d96560cb-4542-42bd-8c80-cfef6a1a17f6 | Reentradas=0 | Latência=208ms | Status=sfSalvo | Entrada=01:00:04.893 | ÚltimaExecução=01:00:05.101
ID=28723950-7a73-4330-843c-7a76caffa0ff | Reentradas=0 | Latência=107ms | Status=sfSalvo | Entrada=01:00:05.052 | ÚltimaExecução=01:00:05.159
ID=b5818384-940f-423f-b337-c7c66365ff30 | Reentradas=0 | Latência=220ms | Status=sfSalvo | Entrada=01:00:05.292 | ÚltimaExecução=01:00:05.512
ID=04fb3f4f-5514-4c71-9015-f0d626e3ab67 | Reentradas=0 | Latência=190ms | Status=sfSalvo | Entrada=01:00:05.334 | ÚltimaExecução=01:00:05.524
ID=b535b788-1b84-461e-b8df-6b5c72b33e53 | Reentradas=0 | Latência=8ms | Status=sfSalvo | Entrada=00:59:58.118 | ÚltimaExecução=00:59:58.126
ID=3f62825f-5cc0-40da-8874-0e618bb6fd7d | Reentradas=0 | Latência=218ms | Status=sfSalvo | Entrada=01:00:06.394 | ÚltimaExecução=01:00:06.612
ID=f7119a2c-e5d0-4fd9-b7ea-783e54a9769f | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.319 | ÚltimaExecução=00:59:58.325
ID=ab134395-7142-45a3-a987-6728b26ffec5 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:04.212 | ÚltimaExecução=01:00:04.221
ID=6ca73ffb-03bb-4c63-a053-2f5f6b3c919a | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:01.324 | ÚltimaExecução=01:00:01.330
ID=815110fa-3775-464d-a499-41b11e135393 | Reentradas=0 | Latência=107ms | Status=sfSalvo | Entrada=01:00:05.735 | ÚltimaExecução=01:00:05.842
ID=3484825f-ead1-4a47-8933-51e222ab2d24 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:59.882 | ÚltimaExecução=00:59:59.888
ID=20ee421a-fb38-416c-a458-a54043deeaf2 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:00.970 | ÚltimaExecução=01:00:00.976
ID=3ef475c4-614c-4472-bf2c-ee64c0320380 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.817 | ÚltimaExecução=01:00:02.822
ID=258e1387-6de8-4616-bf30-c0ec1a85ae20 | Reentradas=0 | Latência=213ms | Status=sfSalvo | Entrada=01:00:05.189 | ÚltimaExecução=01:00:05.402
ID=1686c437-704b-48b6-ae21-1537c99d8d03 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:01.405 | ÚltimaExecução=01:00:01.411
ID=65bc7f20-3005-4897-a2dd-6bcbcb180dc4 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:01.123 | ÚltimaExecução=01:00:01.128
ID=91784f61-7d2e-421a-badd-92c17dde5d62 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:03.185 | ÚltimaExecução=01:00:03.190
ID=00a62cd9-1504-4631-b9eb-3c826b670d66 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:04.369 | ÚltimaExecução=01:00:04.375
ID=e88c9eb8-4d9f-45e8-a062-fdd80fd93337 | Reentradas=0 | Latência=8ms | Status=sfSalvo | Entrada=01:00:01.973 | ÚltimaExecução=01:00:01.981
ID=b430ea08-2bbd-4ee1-b936-2866ed404ad0 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:01.844 | ÚltimaExecução=01:00:01.850
ID=f27e8f8f-0a0d-4e9e-8451-0d54710ef0b5 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:00.804 | ÚltimaExecução=01:00:00.811
ID=16c09389-8443-4560-b7f6-6a647674d922 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.089 | ÚltimaExecução=01:00:03.095
ID=6d92f16c-ef0a-4a63-8c8b-b8b2cd642836 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:57.395 | ÚltimaExecução=00:59:57.401
ID=ba044cba-ed4c-4d05-abaf-012cd54d93cb | Reentradas=0 | Latência=107ms | Status=sfSalvo | Entrada=01:00:04.890 | ÚltimaExecução=01:00:04.997
ID=8631a8bf-0464-4d37-aef7-147840090101 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:59.401 | ÚltimaExecução=00:59:59.406
ID=1564de95-2bc8-4d2b-94b5-587c7ba208a3 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:00.491 | ÚltimaExecução=01:00:00.497
ID=637fd4f3-2e02-457a-bc7b-469528cb5176 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:04.331 | ÚltimaExecução=01:00:04.338
ID=be1ce186-15a6-424e-9a65-4cc07b0528c7 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:02.006 | ÚltimaExecução=01:00:02.012
ID=a65919bf-d22c-462a-a2d6-fbed852a8a45 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.838 | ÚltimaExecução=00:59:58.844
ID=6a50fa17-8cf1-4487-b856-959a889c1194 | Reentradas=0 | Latência=191ms | Status=sfSalvo | Entrada=01:00:06.134 | ÚltimaExecução=01:00:06.325
ID=c1684fcd-b4f3-44fe-8a36-0f91e360e325 | Reentradas=0 | Latência=181ms | Status=sfSalvo | Entrada=01:00:05.775 | ÚltimaExecução=01:00:05.956
ID=2f723d9b-3d42-467f-b632-115852ebd2e6 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.930 | ÚltimaExecução=01:00:03.936
ID=01781a06-8dad-4a37-b850-d2dabdf6a929 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:04.853 | ÚltimaExecução=01:00:04.862
ID=331d5faf-8c89-4daa-b9cd-248ccaaa75df | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:01.726 | ÚltimaExecução=01:00:01.731
ID=5eb1aafb-1f04-4bf7-8543-6810274ae5c9 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.572 | ÚltimaExecução=01:00:02.577
ID=2042f84b-9bc4-46ca-b64b-16cc810991c8 | Reentradas=0 | Latência=18ms | Status=sfSalvo | Entrada=01:00:00.888 | ÚltimaExecução=01:00:00.906
ID=af79f6c5-fad4-4b0c-9235-4cd813036fb0 | Reentradas=0 | Latência=197ms | Status=sfSalvo | Entrada=01:00:05.334 | ÚltimaExecução=01:00:05.531
ID=0a63d8ef-804f-4f81-beb5-c5e61aa62a51 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.807 | ÚltimaExecução=01:00:02.812
ID=b0073082-c89b-4211-a4f0-dea7b1886036 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:04.530 | ÚltimaExecução=01:00:04.536
ID=cee1bfd8-f7d1-4d2a-ab83-bce1b0544f16 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:02.407 | ÚltimaExecução=01:00:02.413
ID=f1a978be-44c9-4170-a85f-9395567fab56 | Reentradas=0 | Latência=184ms | Status=sfSalvo | Entrada=01:00:05.453 | ÚltimaExecução=01:00:05.637
ID=cd17549d-4099-4d92-a4c5-c8a1d595bf9b | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:03.288 | ÚltimaExecução=01:00:03.297
ID=1e3c8bb9-6ec5-45b1-bc45-06c22e745748 | Reentradas=0 | Latência=188ms | Status=sfSalvo | Entrada=01:00:06.185 | ÚltimaExecução=01:00:06.373
ID=da7a0272-5418-4ae7-85bb-80a2f545adb1 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:04.187 | ÚltimaExecução=01:00:04.192
ID=940bdc47-3a5e-4d62-a293-374847b6382e | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.182 | ÚltimaExecução=01:00:02.187
ID=b15b2e3b-5a90-49a4-bdd5-d75b233e3ee0 | Reentradas=0 | Latência=106ms | Status=sfSalvo | Entrada=01:00:05.092 | ÚltimaExecução=01:00:05.198
ID=20ad414e-ba62-45e2-990d-c3ae0c100872 | Reentradas=0 | Latência=186ms | Status=sfSalvo | Entrada=01:00:05.613 | ÚltimaExecução=01:00:05.799
ID=9d7b5457-8e51-43e5-bb58-cd9b0d139712 | Reentradas=0 | Latência=200ms | Status=sfSalvo | Entrada=01:00:05.981 | ÚltimaExecução=01:00:06.181
