ID=81386599-7294-4aa6-97ba-cc9ed5538c82 | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=22:22:14.730 | ÚltimaExecução=22:22:14.857
ID=576a128c-b14f-4058-a5c3-13277aa49b35 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:14.216 | ÚltimaExecução=22:22:14.343
ID=d14ed6a7-0e53-4386-b656-8a4a94b1d9be | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:16.352 | ÚltimaExecução=22:22:16.479
ID=2abe6f97-4acb-4ba2-b7c1-4a1d2488ce8f | Reentradas=1 | Latência=129ms | Status=sfSucesso | Entrada=22:21:44.768 | ÚltimaExecução=22:21:50.125
ID=6c498686-19a6-44bb-be44-c1193bf49968 | Reentradas=0 | Latência=152ms | Status=sfSucesso | Entrada=22:22:09.189 | ÚltimaExecução=22:22:09.341
ID=ce225020-277f-4760-b7eb-8c4bee82ea56 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:15.860 | ÚltimaExecução=22:22:15.987
ID=458fec7b-9f74-445b-9df6-0a92b16f9cd5 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:17.749 | ÚltimaExecução=22:22:17.876
ID=4994c0b6-e2ae-46d3-af40-297cb26e82dc | Reentradas=3 | Latência=144ms | Status=sfSucesso | Entrada=22:21:47.413 | ÚltimaExecução=22:22:05.038
ID=fb7f5bfc-f938-49e8-8183-4817e776ddca | Reentradas=2 | Latência=1130ms | Status=sfSucesso | Entrada=22:21:48.419 | ÚltimaExecução=22:22:00.902
ID=977c758a-6687-4d54-b812-23599ee69ab0 | Reentradas=2 | Latência=149ms | Status=sfSucesso | Entrada=22:21:50.564 | ÚltimaExecução=22:22:02.964
ID=e7adc68b-0855-4ab7-a287-6ea5f364f6af | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:01.876 | ÚltimaExecução=22:22:02.023
ID=4654ec0a-a082-4335-bec7-9acbae5a65c2 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:08.184 | ÚltimaExecução=22:22:08.332
ID=1c7f8243-b7f1-41e4-a11f-7ef17fae389c | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:13.336 | ÚltimaExecução=22:22:13.463
ID=daa5c1b3-5b2f-42fe-b4a3-5fe8dd738ecc | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=22:21:26.426 | ÚltimaExecução=22:21:26.554
ID=994f0d1e-55e0-42f1-b5fe-f43fca031b68 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=22:22:05.532 | ÚltimaExecução=22:22:05.680
ID=dc4cb884-bd21-418f-9668-a3c9fd9b89c4 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=22:22:18.757 | ÚltimaExecução=22:22:18.884
ID=50255c9c-35d3-4e18-8577-7324cb5b4e46 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:21:29.442 | ÚltimaExecução=22:21:29.569
ID=995cd3c0-3686-4f60-a6ff-186fc30618e7 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=22:21:42.521 | ÚltimaExecução=22:21:47.875
ID=b0298217-eaa0-46fe-88f2-89d6dcd50840 | Reentradas=2 | Latência=1127ms | Status=sfSucesso | Entrada=22:21:48.790 | ÚltimaExecução=22:22:01.271
ID=4ca395f2-9bd2-4e5b-a835-476281e56f47 | Reentradas=1 | Latência=1124ms | Status=sfSucesso | Entrada=22:21:52.827 | ÚltimaExecução=22:22:01.079
ID=696dfad0-f6ee-403c-a53b-5ef1fa17ef59 | Reentradas=1 | Latência=150ms | Status=sfSucesso | Entrada=22:21:57.119 | ÚltimaExecução=22:22:04.392
ID=d132eb18-8a02-4135-a8ae-acb6ab509189 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=22:22:02.664 | ÚltimaExecução=22:22:02.812
ID=0688c245-f6fe-418b-aa3a-3814f67b2e78 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=22:22:04.164 | ÚltimaExecução=22:22:04.312
ID=1254a1b7-06b2-4ecd-8594-bc46dba2ab0a | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:13.072 | ÚltimaExecução=22:22:13.199
ID=ed651373-6eaf-4f97-9839-52dd8d3cbd12 | Reentradas=0 | Latência=224ms | Status=sfSucesso | Entrada=22:21:37.095 | ÚltimaExecução=22:21:37.319
ID=02c8a337-9129-4449-a37b-4a2d2fd116e1 | Reentradas=1 | Latência=145ms | Status=sfSucesso | Entrada=22:21:56.849 | ÚltimaExecução=22:22:04.120
ID=f314798a-4f6b-4d2c-bf92-72d5af6b4b5f | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:15.462 | ÚltimaExecução=22:22:15.589
ID=37fccb6c-a377-414f-a9cd-1b1a35698583 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:11.200 | ÚltimaExecução=22:22:11.327
ID=b56d1dcf-ac57-4c4f-8211-68aedee2266e | Reentradas=9 | Latência=129ms | Status=sfErro500 | Entrada=22:21:59.648 | ÚltimaExecução=22:22:42.822
ID=ec5cc121-e221-48e0-ae02-0d9be1bc1403 | Reentradas=3 | Latência=148ms | Status=sfSucesso | Entrada=22:21:47.785 | ÚltimaExecução=22:22:05.410
ID=1517025c-4916-47f2-b92c-dffb8e436e60 | Reentradas=9 | Latência=128ms | Status=sfErro500 | Entrada=22:21:59.261 | ÚltimaExecução=22:22:42.434
ID=30d23d49-e6a3-4539-ae41-18beb7ba72ae | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=22:22:05.168 | ÚltimaExecução=22:22:05.315
ID=e132308b-a973-436c-915e-7ed476d1cee6 | Reentradas=0 | Latência=145ms | Status=sfSucesso | Entrada=22:22:04.287 | ÚltimaExecução=22:22:04.430
ID=dad9a23b-bd54-4d99-9a9e-089ead456163 | Reentradas=0 | Latência=2126ms | Status=sfSucesso | Entrada=22:21:58.861 | ÚltimaExecução=22:22:00.987
ID=c9074821-6d77-4681-b64b-554da042bb9d | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:14.342 | ÚltimaExecução=22:22:14.469
ID=6a67bfe7-fc1b-4737-8404-44629bdbfd0c | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:15.083 | ÚltimaExecução=22:22:15.211
ID=39c12994-c3de-4c17-bef3-99ca92a3231d | Reentradas=0 | Latência=231ms | Status=sfSucesso | Entrada=22:21:31.454 | ÚltimaExecução=22:21:31.685
ID=30e76586-02d4-4f86-a6ea-72593bc082a6 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:21:27.041 | ÚltimaExecução=22:21:27.168
ID=b2c2065c-999e-4740-bccf-df0f9b034f9d | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:17.871 | ÚltimaExecução=22:22:17.998
ID=0e9d8823-0f39-4efe-8ed5-6d61d99b2e24 | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=22:22:18.749 | ÚltimaExecução=22:22:18.877
ID=1c8463f9-2c30-4ad4-b95e-8cfdef75616c | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:12.067 | ÚltimaExecução=22:22:12.194
ID=192604e6-e327-458c-b57d-f24a0667fbdb | Reentradas=2 | Latência=147ms | Status=sfSucesso | Entrada=22:21:50.192 | ÚltimaExecução=22:22:01.693
ID=1e61c3f4-ca7c-409c-8055-10ade112f1b3 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:13.709 | ÚltimaExecução=22:22:13.836
ID=3630a947-62e7-4984-bcf9-043b5fb23219 | Reentradas=1 | Latência=148ms | Status=sfSucesso | Entrada=22:21:56.627 | ÚltimaExecução=22:22:03.899
ID=a67d6599-c31f-48f7-bfc3-e1ec55493874 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=22:22:08.912 | ÚltimaExecução=22:22:09.060
ID=b5bbd2ba-07cf-4b18-8901-0529cb327e16 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:19.483 | ÚltimaExecução=22:22:19.610
ID=9380e6f6-48a6-44f2-8dca-08d017a8e154 | Reentradas=2 | Latência=1127ms | Status=sfSucesso | Entrada=22:21:48.046 | ÚltimaExecução=22:22:00.531
ID=2e3abfbe-daa8-44ee-ab8b-a288f0607a32 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:15.585 | ÚltimaExecução=22:22:15.712
ID=a8b874e8-947c-4181-b822-48dbd86b22af | Reentradas=0 | Latência=225ms | Status=sfSucesso | Entrada=22:21:38.734 | ÚltimaExecução=22:21:38.959
ID=0cbf24c4-53b0-4b83-b37f-8f8b26877496 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:21:25.421 | ÚltimaExecução=22:21:25.549
ID=44224735-1863-442f-9688-1bba6d9f78b2 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:17.730 | ÚltimaExecução=22:22:17.858
ID=1375a327-4752-4b48-9c0a-26dfe3796ac5 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:21:27.432 | ÚltimaExecução=22:21:27.559
ID=84da45b0-741f-404c-b86f-95a0235383e0 | Reentradas=1 | Latência=148ms | Status=sfSucesso | Entrada=22:21:54.714 | ÚltimaExecução=22:22:01.986
ID=0ee5af24-b4c0-4754-94fd-9b4dd8ee277f | Reentradas=1 | Latência=148ms | Status=sfSucesso | Entrada=22:21:56.482 | ÚltimaExecução=22:22:03.757
ID=a94bc266-a8e9-494e-8155-6857e1f398d9 | Reentradas=0 | Latência=145ms | Status=sfSucesso | Entrada=22:22:06.685 | ÚltimaExecução=22:22:06.830
ID=6f34c8ca-c4eb-4c07-8df2-906bb6b0d6b0 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=22:22:14.855 | ÚltimaExecução=22:22:14.982
ID=66079cca-7031-40c0-900b-90456f9413a3 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=22:21:41.382 | ÚltimaExecução=22:21:46.735
ID=55d357f9-6062-43d1-abd5-b820280dc64a | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=22:21:34.471 | ÚltimaExecução=22:21:34.702
ID=3b44f596-8c2f-4931-97fd-71b85080929e | Reentradas=3 | Latência=150ms | Status=sfSucesso | Entrada=22:21:45.775 | ÚltimaExecução=22:22:03.397
