ID=04ebc294-32db-4b06-8174-f7120baa1a34 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:19.896 | ÚltimaExecução=00:35:20.023
ID=c36c1e0e-761a-4d38-a1e3-d2f2d6c6f5bc | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:13.593 | ÚltimaExecução=00:35:13.740
ID=5b6ccffa-a10d-44ba-a24c-470b75d17be4 | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=00:34:59.780 | ÚltimaExecução=00:35:07.055
ID=060e6d01-5180-4732-86a5-2b993b85247d | Reentradas=0 | Latência=151ms | Status=sfSucesso | Entrada=00:35:07.055 | ÚltimaExecução=00:35:07.205
ID=2ef77e21-93ea-4af7-bbcd-dbe20c0fb33c | Reentradas=1 | Latência=149ms | Status=sfSucesso | Entrada=00:35:01.246 | ÚltimaExecução=00:35:08.523
ID=e73f55c4-4d5d-4e4c-a05e-4f9f48af2688 | Reentradas=1 | Latência=151ms | Status=sfSucesso | Entrada=00:35:00.657 | ÚltimaExecução=00:35:07.938
ID=3bc7d508-8773-425b-98a1-d01616f3e33e | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:25.924 | ÚltimaExecução=00:34:26.052
ID=93d92cb5-f9ea-45b3-ab83-7d6e0c13fdbe | Reentradas=2 | Latência=148ms | Status=sfSucesso | Entrada=00:34:56.996 | ÚltimaExecução=00:35:10.402
ID=2b05c787-f6ea-43a6-b15b-82daccf8ba42 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:24.575 | ÚltimaExecução=00:35:24.702
ID=cd559039-6ffa-4bd2-9b42-62b6e35f2df7 | Reentradas=3 | Latência=146ms | Status=sfSucesso | Entrada=00:34:54.597 | ÚltimaExecução=00:35:11.093
ID=76a0096a-6304-4376-928e-bccba2adc67a | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:16.609 | ÚltimaExecução=00:35:16.737
ID=b09f9451-576f-49ad-b4b3-93bc69fea83d | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:12.511 | ÚltimaExecução=00:35:12.659
ID=90f932ed-4ebd-4f2d-a230-679dc4274e1d | Reentradas=0 | Latência=146ms | Status=sfSucesso | Entrada=00:35:08.938 | ÚltimaExecução=00:35:09.085
ID=8902d419-2ddd-4148-8830-f7cccac7bce5 | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=00:35:17.539 | ÚltimaExecução=00:35:17.666
ID=24a344c6-0c2b-431f-8951-bb8b4728397e | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:11.328 | ÚltimaExecução=00:35:11.476
ID=412af10b-62a8-4736-b79a-b43549422310 | Reentradas=0 | Latência=145ms | Status=sfSucesso | Entrada=00:35:12.960 | ÚltimaExecução=00:35:13.105
ID=bf611605-0aba-4bbe-a0ec-9383359dd391 | Reentradas=2 | Latência=1125ms | Status=sfSucesso | Entrada=00:34:54.186 | ÚltimaExecução=00:35:06.666
ID=65979038-c687-434a-a78c-faeac2b277f2 | Reentradas=2 | Latência=147ms | Status=sfSucesso | Entrada=00:34:55.194 | ÚltimaExecução=00:35:06.696
ID=6c6defb1-0a91-4a38-8cb8-faeea1881a33 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:15.875 | ÚltimaExecução=00:35:16.002
ID=051086f9-f920-458b-b93c-bd511bf593d4 | Reentradas=1 | Latência=1128ms | Status=sfSucesso | Entrada=00:34:58.439 | ÚltimaExecução=00:35:06.694
ID=3b9536ac-d102-47fe-9f10-6ef322a12d68 | Reentradas=0 | Latência=143ms | Status=sfSucesso | Entrada=00:35:06.481 | ÚltimaExecução=00:35:06.624
ID=6db6ddde-f692-4781-b655-c0c73a29b9f8 | Reentradas=0 | Latência=228ms | Status=sfSucesso | Entrada=00:34:45.090 | ÚltimaExecução=00:34:45.318
ID=a59b408e-e83f-44f8-afc8-78281475dc35 | Reentradas=1 | Latência=150ms | Status=sfSucesso | Entrada=00:34:59.226 | ÚltimaExecução=00:35:06.503
ID=1871b3c1-270f-49e8-8eef-7a2f5e6112ff | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:12.727 | ÚltimaExecução=00:35:12.875
ID=621357c1-8d01-45c1-8411-4b7f1be82fae | Reentradas=0 | Latência=225ms | Status=sfSucesso | Entrada=00:34:41.064 | ÚltimaExecução=00:34:41.289
ID=65f9af0f-3720-46b1-bf48-dfe7bf96a6ae | Reentradas=1 | Latência=129ms | Status=sfSucesso | Entrada=00:34:46.926 | ÚltimaExecução=00:34:52.282
ID=b3056a5c-8424-4e3d-a8e4-cbef8d66c14c | Reentradas=3 | Latência=148ms | Status=sfSucesso | Entrada=00:34:52.586 | ÚltimaExecução=00:35:10.215
