ID=31a2cd00-9bd5-4201-b728-2906a151016f | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:37.821 | ÚltimaExecução=00:57:37.948
ID=7ab5892b-a297-4db9-ba4b-95b170859901 | Reentradas=0 | Latência=130ms | Status=sfSucesso | Entrada=00:56:51.625 | ÚltimaExecução=00:56:51.756
ID=9be1206a-e6f0-4fb5-9ea7-6d2f094cdf85 | Reentradas=5 | Latência=127ms | Status=sfSucesso | Entrada=00:57:11.455 | ÚltimaExecução=00:57:39.067
ID=dca13488-a66c-4b6f-935b-015d3866e759 | Reentradas=1 | Latência=129ms | Status=sfSucesso | Entrada=00:57:05.696 | ÚltimaExecução=00:57:11.055
ID=eb69f670-cf3d-4e02-ac0c-28e938a96071 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:57:41.099 | ÚltimaExecução=00:57:41.225
ID=c85a6bb9-a291-45cd-a978-361c55df5156 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:26.340 | ÚltimaExecução=00:57:41.468
ID=851d0605-b972-4d76-95e8-487aa77b22f7 | Reentradas=2 | Latência=131ms | Status=sfSucesso | Entrada=00:57:31.770 | ÚltimaExecução=00:57:41.901
ID=89813fd7-e268-4ac5-86c7-71f8c675e136 | Reentradas=5 | Latência=127ms | Status=sfSucesso | Entrada=00:57:10.011 | ÚltimaExecução=00:57:37.621
ID=8231b06d-1f8d-4f27-a9a2-5d15d32e6e76 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:39.665 | ÚltimaExecução=00:57:39.792
ID=13c95ce8-8875-4810-a234-62e310c8e2df | Reentradas=0 | Latência=227ms | Status=sfSucesso | Entrada=00:56:59.665 | ÚltimaExecução=00:56:59.892
ID=05e17203-7c29-4f3f-8a7b-47608110a9ab | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=00:56:58.660 | ÚltimaExecução=00:56:58.890
ID=d48ec9f9-e4fc-4895-804c-2ab7de317682 | Reentradas=1 | Latência=128ms | Status=sfSucesso | Entrada=00:57:07.713 | ÚltimaExecução=00:57:13.072
ID=78fd732b-9f06-414e-a1d7-6b2903c447b9 | Reentradas=0 | Latência=2128ms | Status=sfSucesso | Entrada=00:57:23.319 | ÚltimaExecução=00:57:25.447
ID=f16339f7-954d-46be-8b18-00bac05a829f | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:36.050 | ÚltimaExecução=00:57:41.177
ID=43fdfb37-e4f1-4443-8ad0-cddb403c4479 | Reentradas=0 | Latência=232ms | Status=sfSucesso | Entrada=00:57:00.327 | ÚltimaExecução=00:57:00.560
ID=b0e779ba-01d5-4674-8f12-ea3379f489ba | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:41.475 | ÚltimaExecução=00:57:41.601
ID=bbbb16f3-80b5-4518-b95c-f52a81015e25 | Reentradas=0 | Latência=231ms | Status=sfSucesso | Entrada=00:56:55.063 | ÚltimaExecução=00:56:55.294
ID=7d8cf9c3-3c27-4d86-94ff-2ae03fbfd4b2 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:43.324 | ÚltimaExecução=00:57:43.451
ID=a70e6e37-e555-4d4f-9b81-5267de093044 | Reentradas=4 | Latência=126ms | Status=sfSucesso | Entrada=00:57:19.565 | ÚltimaExecução=00:57:41.818
ID=07867ef0-84cc-467a-aa42-592b5f0e0df7 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:42.109 | ÚltimaExecução=00:57:42.236
ID=36297a0d-debb-40dd-ae22-92437385a525 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:43.690 | ÚltimaExecução=00:57:43.817
ID=a428e16f-f7d4-4f5f-b785-8f8b5dad4d23 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:57:24.899 | ÚltimaExecução=00:57:25.046
ID=c6ea526c-8678-44fd-beba-b77828c520b6 | Reentradas=2 | Latência=129ms | Status=sfSucesso | Entrada=00:57:29.375 | ÚltimaExecução=00:57:39.505
ID=62521bf6-ddcc-4cf7-9656-f1fae2a2f2fd | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:28.727 | ÚltimaExecução=00:57:38.854
ID=d55ac2b4-87b4-47fc-ba6f-55a11dccdbf1 | Reentradas=1 | Latência=128ms | Status=sfSucesso | Entrada=00:57:06.704 | ÚltimaExecução=00:57:12.058
ID=259beac8-7251-4a23-af2f-ca5dc963bb98 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:35.807 | ÚltimaExecução=00:57:40.934
ID=d2e9967b-0735-43b8-a399-357c874e69b5 | Reentradas=0 | Latência=226ms | Status=sfSucesso | Entrada=00:57:02.682 | ÚltimaExecução=00:57:02.908
ID=61ec30d2-6743-4a1f-a2a6-0727fddce355 | Reentradas=5 | Latência=127ms | Status=sfSucesso | Entrada=00:57:12.046 | ÚltimaExecução=00:57:39.659
ID=3e052222-63f5-4788-92a6-ae31c587de46 | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:27.347 | ÚltimaExecução=00:57:37.553
ID=094c30ce-ef5f-4fd3-a3cb-4aba6310bf67 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:39.834 | ÚltimaExecução=00:57:39.961
ID=4dfd9c76-6bf9-454a-8af8-13063cd5a41e | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:36.050 | ÚltimaExecução=00:57:41.177
ID=90410b2d-50e0-41af-9897-f2a3921a6ea7 | Reentradas=4 | Latência=130ms | Status=sfSucesso | Entrada=00:57:19.133 | ÚltimaExecução=00:57:41.396
ID=42e2410b-9243-459e-8eaf-b538b46d183e | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:27.975 | ÚltimaExecução=00:57:38.102
ID=edd7e711-92c0-4614-af1d-c71f4ab1de6f | Reentradas=0 | Latência=131ms | Status=sfSucesso | Entrada=00:57:38.080 | ÚltimaExecução=00:57:38.210
ID=49a0d39b-8fa4-4330-89b0-b122d14fa96b | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:57:40.469 | ÚltimaExecução=00:57:40.596
ID=3c1519e6-2b09-480f-806a-8c89f6c4217c | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:43.487 | ÚltimaExecução=00:57:43.614
ID=09d5a564-359b-485f-a56b-699ffc44a01a | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:29.956 | ÚltimaExecução=00:57:40.083
ID=10481057-7cb1-4ddd-adc0-4398dc6dd648 | Reentradas=2 | Latência=1129ms | Status=sfSucesso | Entrada=00:57:13.236 | ÚltimaExecução=00:57:25.715
ID=fa3d8046-feb7-44df-ac5e-e1be216ba1e3 | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:30.974 | ÚltimaExecução=00:57:41.101
ID=3a55de1e-e869-4cfd-bf9e-3017ed07e391 | Reentradas=0 | Latência=131ms | Status=sfSucesso | Entrada=00:56:45.971 | ÚltimaExecução=00:56:46.101
ID=d3ff9c2b-ea79-4965-93c6-5d02e4c3351a | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:21.309 | ÚltimaExecução=00:57:38.622
ID=8b80c40e-660f-4aa0-8ce9-498e8ffe9c3e | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:28.231 | ÚltimaExecução=00:57:38.358
ID=1d2ada7c-c63c-4311-8d21-9b35fabc4852 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:38.665 | ÚltimaExecução=00:57:38.792
ID=e403c565-92a4-4edd-9388-f61d552d1aab | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:35.437 | ÚltimaExecução=00:57:40.563
ID=e545285e-88ea-45bc-9ae3-0d42eb16052d | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:44.330 | ÚltimaExecução=00:57:44.457
ID=7671d896-2299-41f3-9cc6-6c17434e5f69 | Reentradas=0 | Latência=231ms | Status=sfSucesso | Entrada=00:56:58.296 | ÚltimaExecução=00:56:58.527
ID=98747b15-a9d1-4dfa-af99-f0b1a6d8c893 | Reentradas=10 | Latência=53180ms | Status=sfDescartado | Entrada=00:57:23.198 | ÚltimaExecução=00:58:16.378
ID=363087d4-ff07-418d-9bfd-c7c0e11a6b46 | Reentradas=2 | Latência=129ms | Status=sfSucesso | Entrada=00:57:27.720 | ÚltimaExecução=00:57:37.920
ID=d84953af-a144-40ed-bf61-a3a361e2cafa | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:36.816 | ÚltimaExecução=00:57:41.943
ID=94a728b4-f8a4-4e89-bea1-ad9c942f36a4 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:36.442 | ÚltimaExecução=00:57:41.581
ID=304c8a4c-f969-4dc3-ace2-415597e911a7 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:36.651 | ÚltimaExecução=00:57:41.778
ID=702432e8-3968-4206-98bc-63b4d5d22423 | Reentradas=0 | Latência=131ms | Status=sfSucesso | Entrada=00:56:53.635 | ÚltimaExecução=00:56:53.765
ID=b116668a-c1ff-4eff-9656-64a324746174 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:08.195 | ÚltimaExecução=00:57:13.555
ID=80c6b2f2-bf7f-4199-98ad-1f16a5e0c713 | Reentradas=0 | Latência=231ms | Status=sfSucesso | Entrada=00:57:04.378 | ÚltimaExecução=00:57:04.609
ID=2b1e83c7-0c1a-4612-887b-37a2394caeae | Reentradas=0 | Latência=227ms | Status=sfSucesso | Entrada=00:56:59.124 | ÚltimaExecução=00:56:59.352
ID=c8d8e220-754e-404a-95d1-add77a42d770 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:37.660 | ÚltimaExecução=00:57:37.787
ID=8348c7ae-7b10-4d76-b287-769ef85d6827 | Reentradas=0 | Latência=129ms | Status=sfSucesso | Entrada=00:57:37.072 | ÚltimaExecução=00:57:37.201
ID=2090c9c3-0287-4d82-8e5e-b35896b8b752 | Reentradas=4 | Latência=127ms | Status=sfSucesso | Entrada=00:57:18.112 | ÚltimaExecução=00:57:40.368
ID=13b06464-e872-41c2-88d2-00b2120f6f19 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:42.685 | ÚltimaExecução=00:57:42.812
ID=6a78b7bf-036f-4f2e-8217-0bbe5112364d | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:41.679 | ÚltimaExecução=00:57:41.806
ID=76e08bbb-2d40-40bb-9052-276767933e2d | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:57:40.469 | ÚltimaExecução=00:57:40.596
ID=32fdaf10-4ba4-459c-93cb-9e9465151e9a | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:56:44.961 | ÚltimaExecução=00:56:45.088
ID=7068a367-b3ed-45a1-a542-96ea3c1c271f | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:21.306 | ÚltimaExecução=00:57:38.562
ID=3724d0ef-7683-4e5a-9cbc-504900dab60e | Reentradas=0 | Latência=227ms | Status=sfSucesso | Entrada=00:57:02.357 | ÚltimaExecução=00:57:02.584
ID=620d1056-385f-4418-92ce-f515fb2e525c | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:27.613 | ÚltimaExecução=00:57:37.740
ID=bd6b3ecb-dcde-4f98-924f-ff31efbe2c63 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:40.674 | ÚltimaExecução=00:57:40.801
ID=951687c4-7f0c-45eb-b171-a14ca7d70c5d | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:34.021 | ÚltimaExecução=00:57:39.148
ID=8a86cc68-10b5-48c5-99a8-97ecd930d5eb | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=00:57:01.154 | ÚltimaExecução=00:57:01.384
ID=70149396-0875-4255-b4ff-926804c6a7d5 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:21.173 | ÚltimaExecução=00:57:38.431
ID=90d2e89e-76eb-475a-b0d4-b72da3b36b47 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:36.655 | ÚltimaExecução=00:57:41.783
ID=92b347be-1b54-4388-8118-ddf9a443036a | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:43.487 | ÚltimaExecução=00:57:43.614
ID=e4745611-5508-4c3d-a3ab-e08a938241e6 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:44.692 | ÚltimaExecução=00:57:44.819
ID=06b34e54-0de1-4810-acf3-41e84a587641 | Reentradas=2 | Latência=1126ms | Status=sfSucesso | Entrada=00:57:13.481 | ÚltimaExecução=00:57:25.961
ID=b8533cc4-8f03-4c8d-95fb-fdde378ab863 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:39.463 | ÚltimaExecução=00:57:39.590
ID=9aca8ba6-9b0d-49ad-9012-ef5245479fc2 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:57:24.960 | ÚltimaExecução=00:57:25.107
ID=e944d80b-92da-4048-84d8-b5efbb16ea44 | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:30.382 | ÚltimaExecução=00:57:40.508
ID=e8466bfd-5b47-4d67-be81-2ab4c8727c93 | Reentradas=0 | Latência=2127ms | Status=sfSucesso | Entrada=00:57:24.598 | ÚltimaExecução=00:57:26.725
ID=c7aaed65-63ee-45d1-aeaf-03dc314e19f3 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:35.027 | ÚltimaExecução=00:57:40.154
ID=b7a7aa7e-cafb-4ed9-9736-24dc546e375d | Reentradas=0 | Latência=227ms | Status=sfSucesso | Entrada=00:57:00.134 | ÚltimaExecução=00:57:00.360
ID=11a3af04-6317-4801-a20d-6759cd69a17c | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:34.803 | ÚltimaExecução=00:57:39.930
ID=72e48f9e-9512-4efd-84cc-4022639ba982 | Reentradas=1 | Latência=126ms | Status=sfSucesso | Entrada=00:57:33.002 | ÚltimaExecução=00:57:38.129
ID=8101d25b-c3a3-46d0-be1a-40ee7c5293b4 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:32.400 | ÚltimaExecução=00:57:37.527
ID=2eaff8df-460c-4334-869a-de0cd33d0ab7 | Reentradas=4 | Latência=126ms | Status=sfSucesso | Entrada=00:57:19.297 | ÚltimaExecução=00:57:41.569
ID=364be48a-bb66-4cf0-bb7f-ff1ab088ea53 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:36.303 | ÚltimaExecução=00:57:41.430
ID=c9be6d06-f00a-4595-a98c-a58dfa8ed707 | Reentradas=10 | Latência=53317ms | Status=sfDescartado | Entrada=00:57:24.325 | ÚltimaExecução=00:58:17.642
ID=9b1255b9-4002-4f65-8d85-faa033eecee0 | Reentradas=0 | Latência=2125ms | Status=sfSucesso | Entrada=00:57:24.204 | ÚltimaExecução=00:57:26.329
ID=4b5dfb13-39b3-40fd-8adf-7645f674db56 | Reentradas=0 | Latência=225ms | Status=sfSucesso | Entrada=00:57:03.166 | ÚltimaExecução=00:57:03.391
ID=d2f7e0e2-901a-441b-8e48-949d8cb4f3f1 | Reentradas=2 | Latência=127ms | Status=sfSucesso | Entrada=00:57:29.733 | ÚltimaExecução=00:57:39.860
ID=bf11ab4a-9733-4a7a-8797-e51442660d0f | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:37.449 | ÚltimaExecução=00:57:37.577
ID=8997033b-cd92-418b-b704-0e81f5b64607 | Reentradas=0 | Latência=132ms | Status=sfSucesso | Entrada=00:57:43.132 | ÚltimaExecução=00:57:43.264
ID=75e93b6a-1c7f-4329-b344-33549b7741a1 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:57:39.463 | ÚltimaExecução=00:57:39.590
ID=7b16e62a-7bbc-4e3a-9bdd-a2c5d06caf5c | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:42.318 | ÚltimaExecução=00:57:42.445
ID=7c5cf411-9072-4f52-9803-4a072e0740a6 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:33.278 | ÚltimaExecução=00:57:38.405
ID=8edb5e67-355e-4b80-afa8-0e91da62d1da | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:57:34.291 | ÚltimaExecução=00:57:39.418
ID=be299de1-43d0-41fc-9831-f9c5e4f6b010 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:22.581 | ÚltimaExecução=00:57:39.834
ID=47c1b132-aa5c-42ff-b5d9-d37dae1d136c | Reentradas=1 | Latência=128ms | Status=sfSucesso | Entrada=00:57:31.997 | ÚltimaExecução=00:57:37.125
ID=0df84b27-6733-46b2-a9e2-5736c727f462 | Reentradas=1 | Latência=126ms | Status=sfSucesso | Entrada=00:57:33.642 | ÚltimaExecução=00:57:38.769
ID=cb55abbc-74de-4ae4-8571-03d853bd8601 | Reentradas=3 | Latência=128ms | Status=sfSucesso | Entrada=00:57:20.155 | ÚltimaExecução=00:57:37.410
ID=b534d414-8830-409b-88ae-2d4b187022a6 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:20.303 | ÚltimaExecução=00:57:37.559
ID=6a65f91e-0ac1-469c-8bb8-3b75be8e6195 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:57:41.475 | ÚltimaExecução=00:57:41.601
ID=58714a37-f1a7-4e70-8a64-f827890b7e33 | Reentradas=4 | Latência=127ms | Status=sfSucesso | Entrada=00:57:18.659 | ÚltimaExecução=00:57:40.915
ID=8609defb-ff22-4080-bcaf-9eba3e250fe2 | Reentradas=5 | Latência=126ms | Status=sfSucesso | Entrada=00:57:12.475 | ÚltimaExecução=00:57:40.085
ID=45aa9dd0-f2e9-449e-9e48-4c85736a2413 | Reentradas=0 | Latência=131ms | Status=sfSucesso | Entrada=00:57:44.142 | ÚltimaExecução=00:57:44.273
ID=4754fc6f-cb58-4f7a-9660-559c31a63c38 | Reentradas=4 | Latência=126ms | Status=sfSucesso | Entrada=00:57:19.283 | ÚltimaExecução=00:57:41.569
ID=c2785a8f-fac2-4a67-9575-bacd01a9b1ac | Reentradas=10 | Latência=53200ms | Status=sfDescartado | Entrada=00:57:23.893 | ÚltimaExecução=00:58:17.093
ID=bfa27191-c7b0-42cd-8c27-c9efc3a475f6 | Reentradas=3 | Latência=127ms | Status=sfSucesso | Entrada=00:57:25.334 | ÚltimaExecução=00:57:40.461
ID=33857a4d-f7ed-48dc-9f3c-f23f8bfdfe15 | Reentradas=2 | Latência=128ms | Status=sfSucesso | Entrada=00:57:29.376 | ÚltimaExecução=00:57:39.505
ID=9661878c-f49c-45c6-8e3c-664e006e8e0b | Reentradas=2 | Latência=126ms | Status=sfSucesso | Entrada=00:57:31.632 | ÚltimaExecução=00:57:41.759
ID=ae4ba34c-86fd-42e8-b61a-3f91e61e1c9f | Reentradas=5 | Latência=127ms | Status=sfSucesso | Entrada=00:57:14.490 | ÚltimaExecução=00:57:40.977
ID=5de5a59f-0e1e-46d3-922a-c60c0004047e | Reentradas=3 | Latência=126ms | Status=sfSucesso | Entrada=00:57:25.965 | ÚltimaExecução=00:57:41.093
ID=136cdb8f-64c8-4a40-83ce-4096a8293433 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:57:39.669 | ÚltimaExecução=00:57:39.796
