ID=ca7b1c1e-53cc-47bd-b346-c86c881cbb32 | Reentradas=0 | Latência=210ms | Status=sfSalvo | Entrada=01:00:06.504 | ÚltimaExecução=01:00:06.714
ID=9f363086-676f-4fe3-bdb7-ceccab2cc3ec | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:01.405 | ÚltimaExecução=01:00:01.410
ID=5c157ee9-2970-4fdc-8f70-61e38774e05b | Reentradas=0 | Latência=191ms | Status=sfSalvo | Entrada=01:00:06.134 | ÚltimaExecução=01:00:06.325
ID=6bdfd2cb-7864-45ac-9142-dbee3fa13f50 | Reentradas=0 | Latência=174ms | Status=sfSalvo | Entrada=01:00:05.502 | ÚltimaExecução=01:00:05.676
ID=153ed839-2413-47a6-b886-89a05890e93b | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:04.651 | ÚltimaExecução=01:00:04.658
ID=a8ac92f1-f5c4-443a-97ea-994812f5d041 | Reentradas=0 | Latência=15ms | Status=sfSalvo | Entrada=00:59:56.674 | ÚltimaExecução=00:59:56.689
ID=91ea6b07-e2c1-4d92-8070-90822bb3a246 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:00.322 | ÚltimaExecução=01:00:00.327
ID=53c8a89f-6ea3-4799-978d-64cdd34df765 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.009 | ÚltimaExecução=01:00:03.015
ID=cc57de40-231b-43cb-940e-9cb5e0307bf1 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:04.666 | ÚltimaExecução=01:00:04.671
ID=2d80fe6e-f1e4-4545-a0fa-1ddf88f998a4 | Reentradas=0 | Latência=115ms | Status=sfSalvo | Entrada=01:00:06.054 | ÚltimaExecução=01:00:06.169
ID=ef0fb112-cdd0-413c-bfed-93fc6444eff5 | Reentradas=0 | Latência=106ms | Status=sfSalvo | Entrada=01:00:06.054 | ÚltimaExecução=01:00:06.160
ID=0a35a5eb-a235-4b57-b30e-8e77ffa36d3f | Reentradas=0 | Latência=144ms | Status=sfSalvo | Entrada=01:00:06.139 | ÚltimaExecução=01:00:06.283
